sample_index,distance_from_superior_mm,center_x_ras_mm,center_y_ras_mm,center_z_ras_mm,normal_x,normal_y,normal_z,area_mm2,perimeter_mm,minimum_feret_diameter_mm,maximum_feret_diameter_mm,equivalent_diameter_mm
16,3.9442255776696378,3.4540097273032693,115.05690873599728,1340.6415580247358,0.21917370597183272,-0.4542003469746559,-0.8635189236019526,5.09825517109679,8.146327343587235,2.271207545653204,2.8807620087771766,2.547802993363295
17,4.1907396762739895,3.5120878984237045,114.9442831662146,1340.4304111987944,0.2597538171479353,-0.46164683949881175,-0.8481804937970664,5.032932374696622,8.100537152434697,2.219096297157952,2.8981670491481553,2.5314281592495544
18,4.437253774878342,3.5824606317357675,114.82942117205772,1340.2239563574485,0.285471434333664,-0.46594492893980943,-0.8374970945470536,4.972224972921976,8.063892339906953,2.1788487548065056,2.9180532283817344,2.5161147551023944
19,4.683767873482695,3.6528333650478304,114.71455917790085,1340.0175015161024,0.2854714343336677,-0.46594492893978817,-0.8374970945470642,4.91370704563384,8.028157107667395,2.172293139790273,2.9386488759438727,2.5012649043523543
20,4.930281972087047,3.7232060983598934,114.59969718374397,1339.8110466747564,0.26378350991982824,-0.4604404593980707,-0.8475923803596098,4.852475883165327,7.98290010359725,2.160183386239627,2.9365885430173724,2.4856315463720238
21,5.176796070691399,3.7830800432475886,114.48760370047505,1339.599961043431,0.23465969834043904,-0.4526806783745065,-0.8602412623218969,4.794275163269387,7.934162224635213,2.15317087907214,2.9080541813056917,2.4706802152881324
22,5.4233101692957515,3.838265795667541,114.37674648479883,1339.3868075511466,0.22386448780170656,-0.44969929226709776,-0.8646705948716835,4.757278009290609,7.8848831199791745,2.1578384992449418,2.853434167991497,2.4611287017805012
23,5.669824267900104,3.8934515480874934,114.26588926912261,1339.173654058862,0.2238644878016204,-0.4496992922669501,-0.8646705948717824,4.715970933342523,7.832603468738471,2.152957415882363,2.8065007054457083,2.4504205116986135
24,5.916338366504456,3.9486373005074458,114.15503205344638,1338.9605005665776,0.2081554238073595,-0.4504383621985291,-0.8682030876468277,4.68153334977567,7.793887790422165,2.1522607510135487,2.7697710343568303,2.441457226930436
25,6.162852465108808,3.9964331907707455,114.04390205171536,1338.7458342057776,0.18079197047030282,-0.45144236773455637,-0.8737929114084656,4.6698691675902895,7.778072610339768,2.1553337721387846,2.744679667351742,2.438413847753378
26,6.409366563713161,4.037324753967183,113.93251718675394,1338.5297543762524,0.16587920702283515,-0.45183973489563456,-0.8765414665872449,4.6937417620199176,7.793119676141851,2.1642453510851176,2.739005490152374,2.4446385467341916
27,6.6558806623175135,4.078216317163619,113.82113232179252,1338.3136745467273,0.1686521009034832,-0.45360381587736887,-0.875100021187482,4.707406917844677,7.819935320876087,2.163404636677961,2.7807629058261285,2.4481945676272776
28,6.902394760921865,4.1197100088324605,113.70937393576222,1338.097934262033,0.19542175655475116,-0.4704030690198521,-0.8605412771748719,4.748102535696764,7.856830732321647,2.170424485196344,2.813338425547003,2.458754137954102
29,7.148908859526218,4.174533421004865,113.58934666413953,1337.8897107082373,0.22195203492359386,-0.48663109651905634,-0.8449422880256003,4.77653123655648,7.889673262727158,2.17494343167464,2.840929124054186,2.4661039023217284
30,7.395422958130571,4.229356833177269,113.46931939251685,1337.6814871544416,0.22239463171794957,-0.4868982029920873,-0.8446719882333696,4.789634493755852,7.925920395661647,2.1605907610272244,2.8768706675440154,2.469484165221055
31,7.641937056734922,4.284180245349672,113.34929212089416,1337.4732636006459,0.26978969562450844,-0.48600106317077285,-0.8312740142285896,4.811677700704251,7.966260184922172,2.1460924146057523,2.909406205367173,2.475160262499585
32,7.8884511553392755,4.361906254962452,113.23009206459766,1337.2722418383287,0.3216833604700034,-0.483620948762911,-0.8140212488101203,4.808954094944849,7.982481938634782,2.130509821500437,2.934547967699802,2.474459642528016
33,8.134965253943628,4.443976649084804,113.11104892244411,1337.0725861809447,0.33292373372156103,-0.4829060196862212,-0.8099157756678815,4.7589303255799775,7.951467771272553,2.114095928009657,2.9479667899864186,2.4615560690684686
34,8.381479352547979,4.526047043207155,112.99200578029057,1336.8729305235604,0.3306248562054684,-0.4842139105473501,-0.8100765971755733,4.7284027920909315,7.9239304223765625,2.083983095814123,2.9345042175436915,2.4536481855242265
35,8.627993451152332,4.607411450129828,112.87257085828067,1336.6732377153342,0.3146031560427138,-0.4931989485570407,-0.8110361590892193,4.737780153419679,7.918508016595191,2.0792736708535147,2.908778127704524,2.456080016122309
36,8.874507549756684,4.681086013077801,112.7488685416649,1336.4731402479613,0.2988655146504192,-0.5018062549611885,-0.811708005772129,4.7629648793064785,7.9127534634535435,2.1257550076414935,2.8750950160160453,2.462599284195005
37,9.121021648361037,4.754760576025773,112.62516622504913,1336.2730427805884,0.2988655146504192,-0.5018062549611885,-0.811708005772129,4.81418589838624,7.923575017415316,2.17003542057112,2.840147679294501,2.4758052955617766
38,9.36753574696539,4.828435138973746,112.50146390843335,1336.0729453132155,0.29088603429715704,-0.5053311378690705,-0.8124196921239806,4.905853972294041,7.975079791204226,2.2215916071769195,2.8311287119652753,2.499265347701371
39,9.614049845569742,4.899139778878268,112.37653448701256,1335.8726951763429,0.2509971707048645,-0.5222344694940715,-0.8150285756771959,4.983291588784129,8.030714243711195,2.2652751492010377,2.824400023383187,2.518913240623041
40,9.860563944174094,4.9518871875207315,112.24418554513821,1335.6715219443338,0.21397319236946308,-0.5368818360638509,-0.8160719129169495,5.075674303660838,8.095895573870136,2.2778067595881124,2.841957394653109,2.542154448419114
41,10.107078042778447,5.0046345961631955,112.11183660326385,1335.4703487123247,0.21397319236953904,-0.5368818360640415,-0.816071912916804,5.146224124366746,8.155926343273217,2.289579316230582,2.875793702502408,2.5597609382936186
42,10.353592141382798,5.0573820048056595,111.9794876613895,1335.2691754803157,0.22392977849229337,-0.5468510182558544,-0.8067275984723267,5.21753133936364,8.223355835672992,2.2991256554745743,2.9143966465384477,2.5774342333360916
43,10.60010623998715,5.114995493641597,111.84229286522216,1335.0726522435348,0.23403800282166828,-0.5568767618085095,-0.7969407038123436,5.314574852222589,8.311070904595262,2.3199549555166854,2.966866252586448,2.60129330628148
44,10.846620338591503,5.173039962026778,111.70466888087545,1334.876540848065,0.2354610495456503,-0.5582803787932142,-0.7955382535122784,5.440936709958201,8.429833817076831,2.337048399978886,3.0147573095185884,2.6320364320274927
45,11.093134437195856,5.23108443041196,111.56704489652874,1334.680429452595,0.185473367256764,-0.5447418411049079,-0.8178361428721971,5.560592773853865,8.535080669532874,2.345690843615575,3.068026701354042,2.66082066510303
46,11.339648535800208,5.264459948056716,111.43656575983238,1334.47415826402,0.13287035086588586,-0.5288276221894168,-0.8382641683086923,5.670740393819822,8.642129418837213,2.3445819222702045,3.1504520320683382,2.6870450158749573
47,11.58616263440456,5.295162101829399,111.30686090728699,1334.2667860629163,0.12454522457942911,-0.5261559208162254,-0.8412184223045105,5.767330170373772,8.745900706377922,2.333221278243472,3.2394434993685848,2.7098326222230167
48,11.832676733008912,5.325864255602081,111.1771560547416,1334.0594138618123,0.13859877908021714,-0.521999086343519,-0.8416099644692929,5.840073683650653,8.825416495076263,2.327092169181059,3.3125390522835523,2.72686867270706
49,12.079190831613264,5.362628761396936,111.04937602098774,1333.8520686786846,0.17832868291432624,-0.509588123323937,-0.8417356030353177,5.893291773830284,8.869078598055031,2.323769972212471,3.3460196773506983,2.7392648895466736
50,12.325704930217617,5.414049493868747,110.92624939244979,1333.644788813701,0.2085914467485994,-0.4994709399382438,-0.8408438550055137,5.919791473455258,8.888508988066484,2.339441585301727,3.348245681083364,2.7454166533678035
51,12.57221902882197,5.465470226340558,110.80312276391184,1333.4375089487173,0.2085914467485994,-0.4994709399382438,-0.8408438550055137,5.973548346480779,8.929346355968889,2.3459637851442565,3.350799728893042,2.757853871604997
52,12.818733127426322,5.516890958812369,110.67999613537388,1333.2302290837338,0.20859144674861346,-0.49947093993827174,-0.8408438550054937,6.032397540695259,8.985864673731626,2.3657675160609455,3.3697938925166957,2.7714052569727774
53,13.065247226030674,5.56831169128418,110.55686950683594,1333.02294921875,0.2085914467486757,-0.49947093993842656,-0.8408438550053863,6.10098055248195,9.052202283424974,2.3821563751305947,3.4060669701732555,2.7871149422081967
