time_s,flow_rate_m3_s,flow_rate_L_min
0.755,7.287581764378476e-05,4.372549058627086
0.76,7.168560530072408e-05,4.301136318043445
0.765,7.047770560721018e-05,4.228662336432611
0.77,6.925241659441824e-05,4.155144995665094
0.775,6.80100405840778e-05,4.080602435044668
0.78,6.675088411387931e-05,4.005053046832758
0.785,6.547525786184062e-05,3.9285154717104374
0.79,6.418347656965186e-05,3.8510085941791115
0.795,6.287585896501752e-05,3.7725515379010512
0.8,6.155272768301523e-05,3.6931636609809138
0.805,6.021440918649035e-05,3.6128645511894213
0.81,5.8861233685506294e-05,3.5316740211303776
0.815,5.749353505586992e-05,3.449612103352195
0.82,5.61116507567527e-05,3.366699045405162
0.825,5.471592174742787e-05,3.282955304845672
0.83,5.3306692403143814e-05,3.198401544188629
0.835,5.188431043015444e-05,3.1130586258092663
0.84,5.044912677992803e-05,3.026947606795682
0.845,4.9001495562555124e-05,2.9400897337533074
0.85,4.7541773959377304e-05,2.852506437562638
0.855,4.6070322134857856e-05,2.7642193280914715
0.86,4.458750314771665e-05,2.675250188862999
0.865,4.3093682861350834e-05,2.58562097168105
0.87,4.158922985356364e-05,2.4953537912138186
0.875,4.007451532562309e-05,2.4044709195373857
0.88,3.8549913010673785e-05,2.312994780640427
0.885,3.701579908152383e-05,2.2209479448914298
0.89,3.547255205782974e-05,2.128353123469785
0.895,3.392055271270263e-05,2.035233162762158
0.9,3.236018397875778e-05,1.9416110387254668
0.905,3.0791830853632006e-05,1.8475098512179204
0.91,2.9215880304991104e-05,1.7529528182994663
0.915,2.7632721175051588e-05,1.6579632705030953
0.92,2.6042744084639416e-05,1.562564645078365
0.925,2.44463413368103e-05,1.466780480208618
0.93,2.2843906820054737e-05,1.3706344092032843
0.935,2.1235835911112087e-05,1.2741501546667253
0.94,1.9622525377417053e-05,1.1773515226450233
0.945,1.8004373279203245e-05,1.0802623967521947
0.95,1.6381778871287965e-05,0.982906732277278
0.955,1.475514250456206e-05,0.8853085502737236
0.96,1.3124865527209093e-05,0.7874919316325456
0.965,1.1491350185678865e-05,0.6894810111407319
0.97,9.854999525439039e-06,0.5912999715263423
0.975,8.21621729152988e-06,0.4929730374917928
0.98,6.575407828945932e-06,0.3945244697367559
0.985,4.932975982870134e-06,0.29597855897220804
0.99,3.289326998784219e-06,0.19735961992705314
0.995,1.6448664224806572e-06,0.09869198534883943
1.0,1.2824471291478599e-20,7.694682774887159e-16
1.005,-1.644866422480585e-06,-0.0986919853488351
1.01,-3.2893269987841936e-06,-0.19735961992705162
1.015,-4.932975982870062e-06,-0.2959785589722037
1.02,-6.575407828945908e-06,-0.3945244697367545
1.025,-8.216217291529807e-06,-0.4929730374917884
1.03,-9.854999525439013e-06,-0.5912999715263408
1.035,-1.1491350185678793e-05,-0.6894810111407276
1.04,-1.3124865527209068e-05,-0.787491931632544
1.045,-1.475514250456199e-05,-0.8853085502737195
1.05,-1.638177887128794e-05,-0.9829067322772763
1.055,-1.8004373279203174e-05,-1.0802623967521905
1.06,-1.962252537741703e-05,-1.1773515226450217
1.065,-2.1235835911112064e-05,-1.2741501546667238
1.07,-2.2843906820054758e-05,-1.3706344092032854
1.075,-2.4446341336810273e-05,-1.4667804802086164
1.08,-2.6042744084639436e-05,-1.5625646450783661
1.085,-2.7632721175051564e-05,-1.6579632705030938
1.09,-2.921588030499112e-05,-1.7529528182994671
1.095,-3.079183085363198e-05,-1.8475098512179187
1.1,-3.236018397875781e-05,-1.9416110387254686
1.105,-3.3920552712702606e-05,-2.0352331627621565
1.11,-3.5472552057829764e-05,-2.1283531234697857
1.115,-3.70157990815238e-05,-2.220947944891428
1.12,-3.8549913010673805e-05,-2.3129947806404285
1.125,-4.007451532562307e-05,-2.4044709195373843
1.13,-4.158922985356358e-05,-2.495353791213815
1.135,-4.3093682861350814e-05,-2.585620971681049
