iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
65,0.0017681738,0.0022786505,0.0022962877,0.011967304,5.7365196e-05,7.7063305e-05,7.9847912e-05,1.4750054e-05,3,3,3,3,0.034546976,-0.00023366467,1.3180368
66,0.0017585671,0.002254209,0.0022711162,0.011866143,5.7078838e-05,7.6403859e-05,7.909237e-05,1.5013029e-05,3,3,3,3,0.035210247,-0.00021618999,1.3178206
67,0.0017501287,0.0022313476,0.0022468515,0.011782059,5.6843142e-05,7.5799875e-05,7.8377536e-05,1.5143288e-05,3,3,3,3,0.035562207,-0.00049226292,1.3173283
68,0.0017424784,0.0022096816,0.0022238105,0.011722967,5.6638912e-05,7.5236057e-05,7.7724321e-05,1.7551238e-05,3,3,3,3,0.04127087,6.222296e-05,1.3173905
69,0.0017354022,0.002189473,0.0022025138,0.011688181,5.6473068e-05,7.4699604e-05,7.7116887e-05,1.7188407e-05,3,3,3,3,0.040473577,2.2191784e-05,1.3174127
70,0.0017285299,0.0021700416,0.0021822882,0.011661169,5.6310979e-05,7.4147426e-05,7.6525517e-05,1.4933937e-05,3,3,3,3,0.035213823,-0.0005632737,1.3168495
71,0.001722167,0.0021508363,0.0021631216,0.01161983,5.6131123e-05,7.3569391e-05,7.5935187e-05,1.5160388e-05,3,3,3,3,0.035794534,-0.00056491118,1.3162846
72,0.0017164595,0.0021321043,0.0021442132,0.011594556,5.595146e-05,7.3002594e-05,7.5390404e-05,1.663744e-05,3,3,3,3,0.039331718,-3.7345426e-05,1.3162472
73,0.0017111069,0.0021140646,0.0021258304,0.011562773,5.5780717e-05,7.2452541e-05,7.4885845e-05,1.5572393e-05,3,3,3,3,0.036861447,-0.00044118626,1.315806
74,0.0017051188,0.002096273,0.0021075927,0.011528185,5.5587501e-05,7.1889161e-05,7.4389129e-05,1.5660515e-05,3,3,3,3,0.037116257,-0.00040280261,1.3154032
75,0.0016978792,0.0020783642,0.0020899122,0.011478322,5.5366631e-05,7.1318304e-05,7.3881955e-05,1.5788166e-05,3,3,3,3,0.037464477,-0.00052359411,1.3148796
76,0.0016903185,0.0020612577,0.0020733179,0.011398545,5.5129426e-05,7.0749334e-05,7.3392444e-05,1.7110553e-05,3,3,3,3,0.04064981,-2.680826e-05,1.3148528
77,0.0016835823,0.0020451508,0.002058103,0.011345952,5.4934901e-05,7.0214136e-05,7.2947243e-05,1.5884326e-05,3,3,3,3,0.037779918,-0.00046321272,1.3143896
78,0.0016781303,0.0020292185,0.002043949,0.011346431,5.4757243e-05,6.9697402e-05,7.2515332e-05,1.5890166e-05,3,3,3,3,0.037834118,-0.00039023068,1.3139994
79,0.001673121,0.002013247,0.0020304843,0.011361343,5.4594614e-05,6.92007e-05,7.211333e-05,1.6113105e-05,3,3,3,3,0.038404785,-0.00041338366,1.313586
80,0.0016676622,0.0019974264,0.0020170045,0.011375088,5.4388106e-05,6.869196e-05,7.1711402e-05,1.6373239e-05,3,3,3,3,0.039064602,-0.00050858275,1.3130774
81,0.001661174,0.0019815664,0.0020039142,0.011410952,5.4126218e-05,6.8208991e-05,7.1314281e-05,1.6634415e-05,3,3,3,3,0.039728801,-0.00056312822,1.3125143
82,0.0016537784,0.0019667413,0.0019920593,0.011446649,5.386701e-05,6.7786529e-05,7.0940599e-05,1.7815011e-05,3,3,3,3,0.042592843,2.2903766e-05,1.3125372
83,0.0016468638,0.0019540134,0.0019810472,0.011451431,5.3614854e-05,6.7403217e-05,7.0603576e-05,1.6635073e-05,3,3,3,3,0.039813676,-0.00013957323,1.3123976
84,0.0016404674,0.0019419554,0.0019704838,0.011412682,5.3388471e-05,6.7040213e-05,7.0273125e-05,1.648674e-05,3,3,3,3,0.039495855,5.3556421e-05,1.3124512
85,0.0016345379,0.001929939,0.001960354,0.011396172,5.3182776e-05,6.6706798e-05,6.9934729e-05,1.6227366e-05,3,3,3,3,0.038910255,0.00020226136,1.3126534
86,0.0016280969,0.0019179072,0.001951529,0.0114212,5.2964814e-05,6.6391314e-05,6.9593713e-05,1.6105943e-05,3,3,3,3,0.038653563,0.00030772122,1.3129611
87,0.0016211773,0.0019060751,0.0019431097,0.011426621,5.2718156e-05,6.6101355e-05,6.9266977e-05,1.6027737e-05,3,3,3,3,0.038497969,0.00037755065,1.3133387
