sample_index,distance_from_superior_mm,center_x_ras_mm,center_y_ras_mm,center_z_ras_mm,normal_x,normal_y,normal_z,area_mm2,perimeter_mm,minimum_feret_diameter_mm,maximum_feret_diameter_mm,equivalent_diameter_mm
10,2.481066700023819,1.737666252997865,-4.919431209779772,-43.14715674663622,-0.11473131095457798,-0.6523413107990877,-0.749191257631569,5.008641600980264,8.540951678576997,1.8448380154603805,3.438132289692094,2.5253119711777607
11,2.7291733700262006,1.7092826312781364,-5.08136669129882,-43.33297437105042,-0.1144008813606517,-0.6526849178117401,-0.7489424787024622,4.828355396642338,8.426163943872915,1.8034920397666787,3.4319018919751985,2.4794461129535477
12,2.9772800400285826,1.6808990095584075,-5.243302172817868,-43.51879199546462,-0.1144008813606517,-0.6526849178117401,-0.7489424787024622,4.620125201606071,8.273557743723416,1.7403577368804166,3.3902180843393395,2.42539194942021
13,3.2253867100309646,1.6525153878386787,-5.405237654336918,-43.704609619878816,-0.06887028587812695,-0.6503542909466866,-0.7565025974643429,4.407007199305953,8.100186479465929,1.689371136614442,3.3225487398262232,2.368792063497532
14,3.4734933800333465,1.6467374498671425,-5.565511152258518,-43.893581436134,-0.012715863933768699,-0.6455876752685141,-0.7635802907002075,4.217002950663286,7.932815795829085,1.6532336389718543,3.2444761744540487,2.317165276161664
15,3.7216000500357285,1.6463805132866816,-5.725386094865708,-44.083309649698286,-0.0014386416151466151,-0.6443798653444281,-0.7647042038912825,4.003816772253589,7.756066394383834,1.6012076799055113,3.185411452333392,2.257834769044708
16,3.9697067200381104,1.6460235767062208,-5.8852610374728975,-44.27303786326257,-0.0014386416151466151,-0.6443798653444281,-0.7647042038912825,3.8218923749854397,7.635420013524597,1.5420730108575333,3.175725745539622,2.2059429973490365
17,4.217813390040492,1.6456666401257598,-6.0451359800800875,-44.46276607682686,-0.0014386416151470592,-0.6443798653444281,-0.7647042038912825,3.6974464892852166,7.612660580246564,1.4937875124158124,3.2266612353298756,2.1697315697339463
18,4.465920060042874,1.6453097035452988,-6.205010922687277,-44.65249429039115,-0.027631734055100356,-0.6557659871120284,-0.7544583868047962,3.5884664497357854,7.468355085425222,1.4541505254447564,3.1211577544601896,2.137516640580605
19,4.714026730045256,1.6319666742782175,-6.370370863381306,-44.83695254210121,-0.05475397020791149,-0.6669304542917256,-0.74310549176056,3.5370658580291923,7.4951166651411665,1.419589761014985,3.1745712001757176,2.122152709579444
20,4.962133400047638,1.6180430362579408,-6.535976038571757,-45.021175173593896,-0.05611956349316588,-0.6674757078834708,-0.7425138207325142,3.4673026605750894,7.4610167161175225,1.38417629257782,3.173548441638344,2.1011203823221662
21,5.21024007005002,1.6041193982376643,-6.701581213762207,-45.205397805086584,-0.056119563493166325,-0.6674757078834708,-0.7425138207325142,3.3913760812151934,7.4070401118192875,1.3498486197912367,3.1426030144108643,2.077988002292639
22,5.458346740052401,1.5901957602173875,-6.867186388952657,-45.38962043657927,-0.05611956349316529,-0.6674757078834638,-0.7425138207325206,3.3451141286178006,7.4508900919785015,1.3327351568368135,3.2153185871258954,2.063766360373308
23,5.706453410054784,1.5762721221971108,-7.032791564143108,-45.573843068071966,0.009888531176178415,-0.6266781683183008,-0.7792154325373678,3.3105705379652517,7.483172180540739,1.3177005931677566,3.260548386855315,2.053082883025554
24,5.954560080057165,1.5945544793539708,-7.172952174411774,-45.76920013980998,0.20119092412646133,-0.48172308785793494,-0.8529156339719403,3.3224169401033965,7.531067035413352,1.3014591613417756,3.2741871315841973,2.0567529341750412
25,6.202666750059548,1.6736168923826134,-7.265093089307791,-45.985570438945246,0.3186629888986209,-0.3713762104627511,-0.872085781221391,3.248287672037165,7.489139327508593,1.274320989344031,3.2815342589102214,2.0336785185258366
26,6.450773420061929,1.7526793054112555,-7.357234004203807,-46.20194073808051,0.31866298889861716,-0.371376210462745,-0.872085781221395,3.076885691742132,7.409863278525603,1.2513627191323504,3.3110523064579787,1.9792959701257133
27,6.6988800900643115,1.831741718439898,-7.4493749190998235,-46.41831103721578,0.3186629888986168,-0.37137621046274505,-0.8720857812213952,2.87084711454825,6.979264797139789,1.225353147196522,3.04274365367296,1.9118776302712654
28,6.946986760066693,1.9108041314685402,-7.541515833995839,-46.63468133635104,0.23607816515819263,-0.4687052396222265,-0.8512241175426202,2.71568816852108,6.790470523545745,1.190081998519437,2.9574110970687295,1.8594949764197934
29,7.1950934300690745,1.9476498556298922,-7.679342717574823,-46.83607627878112,0.13618719557332545,-0.5709643885327867,-0.8096003426316305,2.595288855714535,6.704997109561044,1.1562347100563124,2.9308695579294777,1.81780758088039
30,7.443200100071457,1.9778631671830584,-7.824347051655967,-47.03511853209017,0.12177549097279833,-0.5844435140730082,-0.8022446688238741,2.4613500951054976,6.605845303113119,1.1142471625521497,2.926214924884496,1.7702791515820246
31,7.6913067700738385,2.0080764787362244,-7.969351385737111,-47.234160785399226,0.12177549097279877,-0.5844435140730082,-0.8022446688238741,2.344252564218151,6.500087177655184,1.0839420550505623,2.886191268321747,1.727655945959541
32,7.939413440076221,2.0382897902893906,-8.114355719818255,-47.433203038708285,0.19597880235432047,-0.5342263652519513,-0.8223104643001053,2.2414637157197057,6.444410453971626,1.0271591390875048,2.8753585270619095,1.689354977778011
33,8.187520110078603,2.1034795055063915,-8.230646625631964,-47.6358855133806,0.36132415774539994,-0.4006276313170033,-0.8419871460152493,2.1504882512302355,6.423990877949503,0.9645553496259277,2.890089339619804,1.6547164959456653
34,8.435626780080984,2.2145472046065238,-8.3092745912548,-47.843342807632425,0.44766107698380647,-0.31691193800666734,-0.836161697103232,2.0290533824358126,6.294888762054604,0.9151600295494215,2.844749677135738,1.6073179538896205
35,8.683733450083366,2.325614903706657,-8.387902556877636,-48.05080010188425,0.44766107698380647,-0.31691193800666734,-0.836161697103232,1.918271347298106,6.224005891126104,0.8644908835756429,2.820886835815964,1.5628240262141952
36,8.931840120085749,2.4366826028067896,-8.466530522500472,-48.25825739613607,0.44766107698380697,-0.3169119380066641,-0.8361616971032328,1.853678637368481,6.234933051470443,0.8188368767047045,2.8349867406738896,1.536286738967808
